Les chefs d'État ou de gouvernement se réunissent au sein du :,Parlement européen,Conseil européen,Conseil de l'Union européenne,Secrétariat général,b,Le Conseil européen réunit les 27 chefs d'État ou de gouvernement.,fr,Fonctionnement européen,Naturalisation
Qui est situé à la fois à Bruxelles et réunit des ministres de façon non permanente?,Le Parlement européen,Le Conseil de l'Union européenne,La cour de Justice,La Commission européenne,b,Le Conseil de l'UE est à Bruxelles et n'a pas de membres permanents (ministres).,fr,Fonctionnement européen,CSP
"Si un domaine comme l'égalité doit être traité, à qui est-ce confié au sein de la Commission?",À un juge,À un commissaire européen,Au président de l'UE,À un député,b,"Chaque commissaire européen est chargé d’un domaine : agriculture, justice, égalité",fr,Fonctionnement européen,CR
Le Conseil de l'Union européenne est chargé d'élaborer la politique :,Fiscale locale,De santé des communes,Des transports urbains,Étrangère et de sécurité de l'UE,d,Le Conseil de l'Union Européenne [] élabore la politique étrangère et de sécurité de l’UE.,fr,Fonctionnement européen,Naturalisation
La Commission européenne :,Vote les lois,Bloque les lois,Propose les lois,Abroge les lois,c,La Commission européenne [] propose les lois.,fr,Fonctionnement européen,CSP
Les groupes libéraux font partie de quelle institution?,Le Conseil de l'Union européenne,Le Parlement européen,La Commission européenne,La cour de Justice,b,"Le Parlement européen réunit 720 députés répartis en groupes politiques (sociaux-démocrates, libéraux).",fr,Fonctionnement européen,CR
La cour de Justice européenne a pour rôle :,De rédiger la Constitution,De distribuer l'euro,De vérifier la bonne application du droit européen par les États,D'élire le président de la Commission,c,Elle vérifie également que les Etats appliquent correctement le droit européen.,fr,Fonctionnement européen,Naturalisation
Les institutions européennes présentées 2/2 ont pour objectif global :,Le fonctionnement de l'Union européenne,Le découpage de l'Europe,La suppression des États,La création de nouveaux pays,a,L'objectif est de comprendre le fonctionnement européen.,fr,Fonctionnement européen,CSP
question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,language,category,exam_category
Quel est l'un des objectifs concernant les élections européennes?,Comprendre à quoi servent les élections européennes,Apprendre l'hymne européen,Comprendre le rôle du maire,Connaître les pays d'Europe,a,L'objectif est de comprendre à quoi servent les élections européennes.,fr,Élections européennes,Naturalisation
À quelle fréquence les élections européennes sont-elles organisées?,Tous les 7 ans,Tous les ans,Tous les 3 ans,Tous les 5 ans,d,Les élections européennes sont organisées tous les cinq ans.,fr,Élections européennes,CSP
Pour quelle institution les citoyens votent-ils lors des élections européennes?,Le Parlement européen,La Commission européenne,Le Sénat européen,Le Conseil de l'Europe,a,Ils votent pour désigner les membres du Parlement européen.,fr,Élections européennes,CR
Comment appelle-t-on les membres élus au Parlement européen?,Les ministres européens,Les eurodéputés,Les préfets d'Europe,Les sénateurs européens,b,"On les appelle les députés européens, ou eurodéputés.",fr,Élections européennes,Naturalisation
De quoi dépend le nombre d'eurodéputés par État?,De la superficie du pays,De la richesse du pays,De la population du pays,De l'ancienneté dans l'Union,c,Le nombre d’eurodéputés par État dépend de la population du pays.,fr,Élections européennes,CSP
Combien d'eurodéputés la France compte-t-elle depuis les élections de 2024?,81,101,79,74,a,"Depuis les élections de 2024, la France compte 81 eurodéputés.",fr,Élections européennes,CR
Comment les électeurs votent-ils aux élections européennes?,Pour des candidats uniques,Par tirage au sort,Pour des listes de partis politiques,Pour le Président de l'Europe,c,"Les électeurs votent pour des listes de partis politiques, et non pour des candidats uniques.",fr,Élections européennes,Naturalisation
Faut-il avoir la nationalité française pour voter aux élections européennes en France?,"Non, n'importe quelle nationalité suffit",Uniquement pour les candidats,"Oui, c'est obligatoire","Non, la nationalité d'un pays membre de l'UE suffit",d,Il faut avoir la nationalité d’un pays membre de l’Union européenne.,fr,Élections européennes,CSP
Quelle est la condition de résidence pour voter aux élections européennes en France?,Il n'y a pas de condition,Habiter en Europe,Habiter dans la capitale,Habiter en France,d,"Pour avoir le droit de voter en France, il faut habiter en France.",fr,Élections européennes,CR
Quel âge faut-il avoir pour voter aux élections européennes?,Au moins 18 ans la veille du 1er tour,Au moins 18 ans le jour des résultats,Au moins 21 ans,Au moins 16 ans,a,Il faut avoir au moins 18 ans la veille du 1er tour de l’élection.,fr,Élections européennes,Naturalisation
Sur quel document faut-il être inscrit pour voter en France à ces élections?,Le registre du commerce,Le recensement militaire,Le registre des impôts,Les listes électorales françaises,d,Il faut être inscrit sur les listes électorales françaises.,fr,Élections européennes,CSP
Un citoyen espagnol habitant en France peut-il voter aux élections européennes en France?,"Oui, s'il remplit les autres conditions","Non, c'est réservé aux Français","Non, il doit voter en Espagne","Oui, mais seulement s'il est marié à un Français",a,"Oui, car il a la nationalité d'un pays membre de l'UE et habite en France.",fr,Élections européennes,CR
L'élection des eurodéputés se fait-elle par un vote pour un candidat unique?,"Oui, toujours","Non, on vote pour des listes",Seulement dans certains pays,Uniquement pour les têtes de liste,b,"Les électeurs votent pour des listes de partis politiques, et non pour des candidats uniques.",fr,Élections européennes,Naturalisation
Quelle est la nationalité requise pour être candidat aux élections européennes en France?,D'un pays membre de l'Union européenne,Française uniquement,Européenne (hors UE incluse),D'un pays du monde entier,a,Il faut avoir la nationalité d’un pays membre de l’Union européenne.,fr,Élections européennes,CSP
Un candidat aux élections européennes en France doit-il obligatoirement habiter en France?,"Non, s'il est de nationalité française","Non, il peut habiter n'importe où dans l'UE",Oui,Seulement s'il n'est pas français,c,"Pour être candidat en France, il faut habiter en France.",fr,Élections européennes,CR
À quel moment le candidat doit-il avoir 18 ans au plus tard?,La veille du 1er tour de l'élection,Le jour de son élection,Le jour du dépôt de candidature,L'année de l'élection,a,Il faut avoir au moins 18 ans la veille du 1er tour de l’élection.,fr,Élections européennes,Naturalisation
Quelle condition concerne les droits civils et politiques pour un candidat?,Il doit les acheter,Il doit en être privé,Ils ne sont pas nécessaires,Il ne doit pas en être privé,d,Il faut ne pas être privé de ses droits civils et politiques.,fr,Élections européennes,CSP
"Si un pays européen a plus d'habitants que la France, aura-t-il plus ou moins d'eurodéputés?",Cela dépend du tirage au sort,Moins,Le même nombre,Plus,d,Le nombre d’eurodéputés par État dépend de la population du pays.,fr,Élections européennes,CR
En quelle année la France est-elle passée à 81 eurodéputés?,2024,2030,2000,2019,a,"Depuis les élections de 2024, la France compte 81 eurodéputés.",fr,Élections européennes,Naturalisation
Les élections européennes permettent-elles d'élire le président de l'Union européenne?,Seulement en France,Oui,"Oui, avec le Conseil de l'Europe","Non, elles élisent les députés européens",d,Elles servent à désigner les membres du Parlement européen (eurodéputés).,fr,Élections européennes,CSP
Combien de conditions principales sont listées pour pouvoir voter?,3,5,2,4,d,"Il y a 4 conditions : nationalité, résidence, âge, inscription.",fr,Élections européennes,CR
Combien de conditions principales sont listées pour être candidat?,4,5,2,3,a,"Il y a 4 conditions : nationalité, résidence, âge, jouissance des droits.",fr,Élections européennes,Naturalisation
Une personne mineure peut-elle être candidate aux élections européennes?,"Oui, avec l'accord de ses parents",Seulement comme suppléant,"Oui, si elle est émancipée","Non, il faut avoir au moins 18 ans",d,Il faut avoir au moins 18 ans la veille du 1er tour.,fr,Élections européennes,CSP
Un citoyen non-européen résidant en France peut-il voter aux élections européennes?,Oui,Seulement s'il paie des impôts,"Oui, après 5 ans de résidence",Non,d,"Non, il faut avoir la nationalité d'un pays membre de l'UE.",fr,Élections européennes,CR
Quel terme est synonyme de 'député européen'?,Sénateur,Eurodéputé,Commissaire,Ministre,b,"On les appelle les députés européens, ou eurodéputés.",fr,Élections européennes,Naturalisation
Les citoyens de l'Union européenne désignent-ils directement la Commission lors de ce vote?,"Non, ils désignent le Parlement européen",Uniquement le président,"Oui, ainsi que les ministres",Oui,a,Ils votent pour désigner les membres du Parlement européen.,fr,Élections européennes,CSP
Est-il possible de rayer un nom sur la liste lors du vote (selon la règle du vote par liste expliquée)?,Seulement pour les petites communes,"Oui, pour le remplacer","Oui, c'est encouragé","Non, on vote pour des listes et non pour des candidats uniques",d,"Les électeurs votent pour des listes, on ne choisit pas de candidat unique.",fr,Élections européennes,CR
Quel est le but d'être inscrit sur les listes électorales?,Pouvoir voyager en Europe sans passeport,Devenir maire,Avoir le droit de voter en France,Payer moins d'impôts,c,Être inscrit sur les listes est une condition pour avoir le droit de voter.,fr,Élections européennes,Naturalisation
La règle de l'âge (18 ans) s'applique-t-elle le jour exact du vote?,"Non, l'année d'avant","Non, il faut les avoir la veille du 1er tour",Oui,Seulement pour les candidats,b,Il faut avoir au moins 18 ans la veille du 1er tour de l'élection.,fr,Élections européennes,CSP
L'expression 'privé de ses droits civils et politiques' empêche de :,Travailler en France,Voyager en Europe,Être candidat aux élections,Voter aux municipales,c,Ne pas être privé de ses droits civils et politiques est une condition pour être candidat.,fr,Élections européennes,CR
Les droits fondamentaux sont aussi appelés :,Les lois pénales,Les règles de vie,Les libertés fondamentales,Les devoirs citoyens,c,Les droits fondamentaux (ou libertés fondamentales),fr,Droits fondamentaux,Naturalisation
Quel est l'objectif du respect des droits fondamentaux?,Remplacer les tribunaux,Créer des conflits,Enrichir l'État,Assurer le bien-être de chacun,d,...que tout le monde doit respecter pour assurer le bien-être de chacun.,fr,Droits fondamentaux,CSP
Les droits fondamentaux s'appliquent-ils différemment selon le sexe?,"Non, ils sont les mêmes pour tout le monde","Oui, selon la loi",Oui,Seulement pour les adultes,a,"Ces droits sont les mêmes pour tout le monde, peu importe le sexe",fr,Droits fondamentaux,CR
Les enfants (avant 18 ans) bénéficient-ils des droits fondamentaux?,"Non, seulement les adultes","Oui, peu importe l'âge","Non, ce sont les parents qui en bénéficient pour eux",Seulement à l'école,b,"Ces droits sont les mêmes pour tout le monde, peu importe l'âge (avant ou après 18 ans).",fr,Droits fondamentaux,Naturalisation
La façon de vivre d'une personne peut-elle la priver de ses droits fondamentaux?,"Non, peu importe la façon de vivre","Oui, si la société n'approuve pas","Oui, si elle est marginale",Seulement en cas de crime,a,"Ces droits sont les mêmes pour tout le monde, peu importe la façon de vivre.",fr,Droits fondamentaux,CSP
"Parmi ces valeurs, laquelle N'EST PAS explicitement listée comme garantie par les droits fondamentaux?",La dignité,Le respect,L'égalité,La richesse,d,"Liste : la dignité, le respect, l'égalité, la justice.",fr,Droits fondamentaux,CR
En combien de catégories les droits fondamentaux peuvent-ils être répartis?,4,3,2,5,b,Ces droits fondamentaux peuvent être répartis en 3 catégories.,fr,Droits fondamentaux,Naturalisation
Quelle est la première catégorie de droits mentionnée?,Les droits politiques,Les droits liés à la personne humaine,Les droits de l'environnement,Les droits de consommation,b,1. les droits liés à la personne humaine.,fr,Droits fondamentaux,CSP
Comment appelle-t-on les droits de la deuxième catégorie?,Les droits culturels,Les droits civils,Les droits sociaux et économiques,Les droits individuels,c,2. les droits sociaux et économiques.,fr,Droits fondamentaux,CR
Comment qualifie-t-on les droits dits 'de troisième génération'?,Ils sont collectifs,Ils sont virtuels,Ils sont obsolètes,Ils sont individuels,a,3. les droits dits 'de troisième génération' qui sont collectifs.,fr,Droits fondamentaux,Naturalisation
De quoi les droits fondamentaux sont-ils la base?,De notre démocratie,Du système scolaire,De la monarchie,De l'économie,a,Ces droits fondamentaux sont la base de notre démocratie.,fr,Droits fondamentaux,CSP
Qui garantit ces droits fondamentaux?,Les associations,L'État,La police,Le président uniquement,b,Ces droits fondamentaux sont garantis par l’État.,fr,Droits fondamentaux,CR
Les droits fondamentaux sont-ils uniquement inscrits dans des textes français?,Ils sont mondiaux sans textes spécifiques,"Non, dans des textes français et européens",Oui,Ils ne sont pas écrits,b,Ils sont inscrits dans plusieurs textes français et européens.,fr,Droits fondamentaux,Naturalisation
De quelle année date la Déclaration des droits de l'homme et du citoyen?,1804,1789,1958,1946,b,la Déclaration des droits de l'homme et du citoyen de 1789.,fr,Droits fondamentaux,CSP
Quel texte fondamental date de 1804?,Le Code Civil,La Charte de l'environnement,La Déclaration universelle,La Constitution,a,le Code Civil de 1804.,fr,Droits fondamentaux,CR
Quelles sont les années des deux Constitutions françaises mentionnées?,1905 et 1958,1946 et 1958,2000 et 2005,1789 et 1804,b,la Constitution française de 1946 ; la Constitution française de 1958.,fr,Droits fondamentaux,Naturalisation
En quelle année a été mise en place la Convention européenne des droits de l’homme?,1959,2000,1789,1946,a,la Convention européenne des droits de l’homme et des libertés fondamentales mise en place en 1959.,fr,Droits fondamentaux,CSP
De quelle année date la Charte des droits fondamentaux de l'Union européenne?,1959,2005,2000,1958,c,la Charte des droits fondamentaux de l'Union européenne de 2000.,fr,Droits fondamentaux,CR
Quel texte a été adopté en 2005 concernant les droits fondamentaux?,Le Code Civil,La Convention européenne,La Constitution,La Charte de l’environnement,d,la Charte de l’environnement de 2005.,fr,Droits fondamentaux,Naturalisation
La dignité est-elle garantie par les droits fondamentaux?,Seulement pour les citoyens français,Seulement pour les travailleurs,Non,Oui,d,Les droits fondamentaux garantissent à chacun : la dignité.,fr,Droits fondamentaux,CSP
Les croyances d'une personne modifient-elles ses droits fondamentaux?,"Oui, s'il n'a pas de religion","Oui, selon la religion",Seulement dans le domaine privé,"Non, peu importe les croyances",d,"Ces droits sont les mêmes pour tout le monde, peu importe les croyances.",fr,Droits fondamentaux,CR
La justice fait-elle partie des garanties offertes par les droits fondamentaux?,Uniquement pour les crimes graves,"Non, c'est un devoir",Oui,C'est une option,c,Les droits fondamentaux garantissent à chacun : [] la justice.,fr,Droits fondamentaux,Naturalisation
Les droits collectifs appartiennent à quelle 'génération'?,Première génération,Quatrième génération,Deuxième génération,Troisième génération,d,les droits dits 'de troisième génération' qui sont collectifs.,fr,Droits fondamentaux,CSP
Lequel de ces textes N'EST PAS européen?,La Charte des droits fondamentaux de l'UE,La Convention européenne des droits de l'homme,Aucun d'entre eux,La Constitution française de 1958,d,La Constitution française de 1958 est un texte français.,fr,Droits fondamentaux,CR
La Charte de l'environnement fait-elle partie des textes garantissant les droits fondamentaux?,"Non, elle ne concerne que la nature",Oui,Seulement pour les entreprises,"Non, c'est un texte sans valeur légale",b,Elle est listée parmi les textes : la Charte de l’environnement de 2005.,fr,Droits fondamentaux,Naturalisation
Combien de textes garantissant les droits sont énumérés?,3,7,5,10,b,"Il y a 7 textes listés (DDHC, Code Civil, Constitutions 46/58, CEDH, Charte UE, Charte environnement).",fr,Droits fondamentaux,CSP
Quel est le plus ancien texte garantissant les droits listé?,La Charte de l'environnement,La Déclaration des droits de l'homme et du citoyen,La Constitution de 1946,Le Code Civil,b,La Déclaration des droits de l'homme et du citoyen date de 1789.,fr,Droits fondamentaux,CR
Quel est le texte le plus récent listé?,La Charte de l'UE de 2000,La Charte de l'environnement de 2005,La CEDH de 1959,La Constitution de 1958,b,La Charte de l'environnement date de 2005.,fr,Droits fondamentaux,Naturalisation
Les droits fondamentaux sont-ils un concept exclusivement français?,Oui,"Non, ils sont aussi inscrits dans des textes européens","Oui, inventés en 1958","Non, mais la France est la seule à les appliquer",b,Ils sont inscrits dans plusieurs textes français et européens.,fr,Droits fondamentaux,CSP
Peut-on être privé de ses droits fondamentaux en raison de son jeune âge?,"Oui, avant 18 ans on n'a pas de droits","Non, ils s'appliquent avant et après 18 ans",Seulement les droits sociaux,"Oui, jusqu'à 16 ans",b,"Ces droits sont les mêmes pour tout le monde, peu importe l'âge (avant ou après 18 ans).",fr,Droits fondamentaux,CR
Un homme et une femme ont-ils les mêmes droits fondamentaux?,Seulement s'ils sont mariés,Cela dépend de leur métier,"Oui, peu importe le sexe","Non, ils sont différents",c,"Ces droits sont les mêmes pour tout le monde, peu importe le sexe.",fr,Droits fondamentaux,Naturalisation
L'égalité est-elle une garantie des droits fondamentaux?,Seulement au travail,Uniquement pour les citoyens majeurs,"Non, c'est un mythe","Oui, c'est garanti à chacun",d,Les droits fondamentaux garantissent à chacun : [] l'égalité.,fr,Droits fondamentaux,CSP
Quel acteur est responsable de garantir les droits fondamentaux?,Les citoyens eux-mêmes,L'État,Les mairies,L'ONU,b,Ces droits fondamentaux sont garantis par l’État.,fr,Droits fondamentaux,CR
Comment qualifie-t-on les libertés et droits fondamentaux dans la première phrase?,De complexes,D'accessoires,D'élémentaires,De temporaires,c,Ce sont les droits et les libertés élémentaires que tout le monde doit respecter,fr,Droits fondamentaux,Naturalisation
Les droits de la personne humaine font partie de :,La seule catégorie existante,La 3e génération,La 1ère des 3 catégories citées,Les devoirs du citoyen,c,Ils sont listés en premier : les droits liés à la personne humaine.,fr,Droits fondamentaux,CSP
"La Constitution française a été adoptée deux fois au 20ème siècle, en quelles années?",1789 et 1804,1946 et 1958,1905 et 1946,1958 et 2000,b,La Constitution française de 1946 ; la Constitution française de 1958.,fr,Droits fondamentaux,CR
Que s'est-il passé en 1959?,La rédaction du Code Civil,La mise en place de la Convention européenne des droits de l'homme,L'abolition de la peine de mort,La création de l'UE,b,La Convention européenne des droits de l’homme et des libertés fondamentales mise en place en 1959.,fr,Droits fondamentaux,Naturalisation
La Charte des droits fondamentaux de l'Union européenne est liée à quelle année?,1989,2024,1959,2000,d,la Charte des droits fondamentaux de l'Union européenne de 2000.,fr,Droits fondamentaux,CSP
"En résumé, les droits fondamentaux assurent :",La richesse de l'État,L'anarchie,La division des catégories,Le bien-être de chacun,d,...pour assurer le bien-être de chacun.,fr,Droits fondamentaux,CR
L'objectif de connaître les droits fondamentaux s'accompagne de quel autre objectif?,Devenir avocat,Apprendre le Code pénal,Savoir les ignorer,Comprendre leur application,d,Objectifs : Connaître les droits fondamentaux. Comprendre l’application des droits fondamentaux.,fr,Droits fondamentaux,Naturalisation
question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,language,category,exam_category
Quels sont les objectifs concernant les droits liés à la personne humaine?,Acheter des droits et les revendre,Créer de nouveaux impôts,Connaître et comprendre l'application des droits fondamentaux,Modifier la Constitution,c,L'objectif est de connaître les droits fondamentaux et de comprendre leur application.,fr,Droits liés à la personne,CSP
Comment appelle-t-on également les droits liés à la personne humaine?,Les droits virtuels,Les droits de l'État,Les droits financiers,Les droits de quelqu'un,d,Ce sont les droits dits 'les droits de' quelqu'un.,fr,Droits liés à la personne,CR
Pourquoi chaque individu possède-t-il des droits naturels?,Simplement parce qu'il est un être humain,Parce qu'il a la nationalité française,Parce qu'il paie des impôts,Parce qu'il travaille,a,Ce sont des droits naturels que chaque individu possède simplement parce qu'il est un être humain.,fr,Droits liés à la personne,Naturalisation
"Parmi les propositions, quelle caractéristique n'est pas attribuée aux droits liés à la personne?",Individuels,Civiques,Politiques,Commerciaux,d,"Ce sont des droits individuels, civiques et politiques.",fr,Droits liés à la personne,CSP
Que signifie l'égalité devant la loi?,La loi ne s'applique pas aux élus,Les lois sont différentes selon les régions,Les plus riches ont plus de droits,Tout être humain doit être traité de la même façon par la loi,d,L'égalité devant la loi signifie que tout être humain doit être traité de la même façon par la loi.,fr,Droits liés à la personne,CR
Lequel de ces droits ne fait PAS partie des quatre grands droits individuels cités?,La résistance à l'oppression,La liberté,Le droit au logement gratuit,L'égalité devant la loi,c,"Les droits cités sont l'égalité, la liberté, la sûreté et la résistance à l'oppression. Le logement est un droit social.",fr,Droits liés à la personne,Naturalisation
Que signifie le mot 'inaltérable' lorsqu'on parle de liberté fondamentale?,Temporaire,Qui doit être acheté,Facilement modifiable,Non modifiable,d,Ces libertés sont inaltérables (c'est-à-dire qu'elles ne sont pas modifiables).,fr,Droits liés à la personne,CSP
Le suffrage universel découle de quel principe?,La sûreté,La propriété,L'égalité devant la loi,La résistance à l'oppression,c,Le principe d'égalité devant la loi se décline notamment en suffrage universel.,fr,Droits liés à la personne,CR
Qu'est-ce que le suffrage universel?,Le vote réservé aux propriétaires,Le droit de vote pour chaque citoyen,Le vote réservé aux hommes,Le vote des personnes majeures de plus de 25 ans uniquement,b,Le suffrage universel est le droit de vote pour chaque citoyen.,fr,Droits liés à la personne,Naturalisation
Que précise l'égalité des sexes?,Les hommes ont des droits supplémentaires au travail,Les femmes doivent toujours être prioritaires,Les hommes et femmes doivent recevoir un traitement égal sans discriminations,Il faut séparer les sexes dans l'espace public,c,Les femmes et hommes doivent recevoir un traitement égal et ne pas être victimes de discriminations.,fr,Droits liés à la personne,CSP
L'accès à la culture ou à l'emploi doit se faire de manière égale selon le principe :,De sûreté,De propriété,De liberté,D'égalité,d,"L'égalité se décline devant la loi, l'impôt, l'emploi et l'accès à la culture.",fr,Droits liés à la personne,CR
Quel droit découle du principe de liberté?,Le droit à un procès équitable,Le suffrage universel,La liberté d'expression,Le droit au silence,c,Le principe de liberté confère à chacun la liberté d'expression.,fr,Droits liés à la personne,Naturalisation
Qu'est-ce que la liberté d'expression?,La liberté de penser et de dire ce que l'on pense,Le droit de choisir son médecin,Le droit d'insulter publiquement,Le droit de ne rien dire au tribunal,a,C'est la liberté de penser et de dire ce que l'on pense.,fr,Droits liés à la personne,CSP
Comment appelle-t-on le droit de choisir et de pratiquer sa religion?,La liberté d'association,La liberté de culte ou de religion,La liberté d'expression,La liberté de la presse,b,Le principe de liberté confère la liberté de culte ou de religion.,fr,Droits liés à la personne,CR
Quelle est la définition du droit de grève?,Droit pour une personne employée de cesser le travail pour exprimer un désaccord,Droit de choisir ses horaires de travail,Droit de licencier un employé,Droit de refuser de payer ses impôts,a,C'est le droit pour une personne employée de cesser le travail pour exprimer un désaccord.,fr,Droits liés à la personne,Naturalisation
Quel principe fonde la liberté de disposer de ses biens et d'entreprendre?,Le droit à la sûreté,Le droit de propriété,Le droit de grève,Le suffrage universel,b,Le droit de propriété fonde la liberté de disposer de ses biens et d'entreprendre.,fr,Droits liés à la personne,CSP
Le droit à la sûreté suppose principalement le respect :,Des droits de la défense,Des droits d'auteur,Des droits économiques,Des droits de douane,a,Le droit à la sûreté suppose le respect des droits de la défense.,fr,Droits liés à la personne,CR
"Dans le cadre d'un procès équitable, la personne a le droit :",De ne payer aucune amende,D'être jugée très vite,De choisir son juge,D'être accompagnée dans la langue qu'elle comprend,d,Un procès équitable inclut le fait d'être accompagné dans la langue que l'on comprend.,fr,Droits liés à la personne,Naturalisation
Que signifie la présomption d'innocence?,Toute personne accusée est dite innocente tant que sa culpabilité n'a pas été prouvée,Une personne accusée est coupable jusqu'à son procès,L'avocat est considéré innocent des crimes de son client,L'accusé doit prouver son innocence seul,a,Toute personne accusée est dite 'innocente' tant que sa culpabilité n'a pas été prouvée.,fr,Droits liés à la personne,CSP
Lequel de ces droits appartient aux droits de la défense liés à la sûreté?,Le droit au logement,Le droit de grève,Le droit de vote,Le droit au silence,d,Le droit au silence fait partie des droits de la défense.,fr,Droits liés à la personne,CR
L'objectif des droits économiques et sociaux est de garantir :,Une égalité stricte des revenus,Des bénéfices aux entreprises de l'État,Un logement gratuit à vie sans condition,Des conditions de vie dignes en assurant l'accès à des ressources essentielles,d,Ils visent à garantir des conditions de vie dignes en assurant l'accès à des ressources essentielles.,fr,Droits économiques et sociaux,Naturalisation
"Parmi ces ressources, laquelle relève d'un droit économique et social?",Le droit de posséder une arme,Le droit de vote,La liberté d'expression,Le travail et la santé,d,"La santé, le travail, le logement et la sécurité sociale sont des ressources essentielles de ces droits.",fr,Droits économiques et sociaux,CSP
"Selon l'article 5 du Préambule de la Constitution de 1946, obtenir un emploi est un droit et travailler est :",Un loisir,Une obligation uniquement pour les jeunes,Un devoir,Une option,c,Chacun a le devoir de travailler et le droit d'obtenir un emploi.,fr,Droits économiques et sociaux,CR
Le droit à l'emploi interdit de léser une personne en raison de :,Son âge,Son niveau de diplôme,"Ses origines, opinions ou croyances",Sa commune de résidence,c,"Nul ne peut être lésé en raison de ses origines, opinions ou croyances.",fr,Droits économiques et sociaux,Naturalisation
L'article 11 du Préambule de la Constitution de 1946 garantit la protection de la santé particulièrement pour :,Les propriétaires d'entreprises,Les élus de la Nation,"L'enfant, la mère et les vieux travailleurs",Les personnes majeures,c,"Elle garantit la protection de la santé, notamment à l'enfant, à la mère et aux vieux travailleurs.",fr,Droits économiques et sociaux,CSP
Le droit à la protection de la santé garantit aussi :,"La sécurité matérielle, le repos et les loisirs",Un salaire universel,La gratuité de tous les transports,L'accès à une voiture,a,"Il garantit aussi la sécurité matérielle, le repos et les loisirs.",fr,Droits économiques et sociaux,CR
L'État a le devoir d'organiser un enseignement public qui est :,Gratuit et laïque à tous les degrés,Gratuit mais religieux,Payant mais laïque,Uniquement réservé aux enfants,a,L'organisation de l'enseignement public gratuit et laïque à tous les degrés est un devoir de l'État.,fr,Droits économiques et sociaux,Naturalisation
"En matière d'instruction, la Nation garantit un égal accès à l'enfant et à :",La mère uniquement,Aux élus,Aux vieux travailleurs,L'adulte,d,La Nation garantit l'égal accès de l'enfant et de l'adulte à l'instruction.,fr,Droits économiques et sociaux,CSP
La formation professionnelle est rattachée à quel droit social?,Le droit à la sûreté,Le droit à la santé,Le droit à la gratuité de l'enseignement public,Le droit de propriété,c,"Elle est incluse dans l'égal accès à l'instruction, à la formation professionnelle et à la culture.",fr,Droits économiques et sociaux,CR
"Contrairement aux droits liés à la personne, les droits économiques et sociaux ont besoin :",De l'autorisation de l'Union Européenne,D'être payés par les citoyens directement,De référendums réguliers,De l'intervention de l'État pour être assurés,d,Ils ont besoin de l'intervention de l'État pour être assurés et protégés.,fr,Droits économiques et sociaux,Naturalisation
Les droits liés à la personne existent dès :,L'entrée dans la vie active,La majorité (18 ans),La naissance de l'individu,L'obtention de la nationalité,c,Ils existent dès la naissance d'un individu.,fr,Droits liés à la personne,CSP
Les droits dits de troisième génération sont avant tout fondés sur :,La défense militaire,La liberté d'entreprise,La propriété individuelle,La solidarité collective,d,Ils sont avant tout fondés sur la solidarité collective.,fr,Droits de 3ème génération,CR
Qui est concerné par les droits de troisième génération?,Les pays en voie de développement uniquement,Autant un citoyen français qu'un citoyen d'un autre pays,Uniquement les citoyens français,Les personnes nées après 2000,b,Ces droits concernent autant un citoyen français qu'un citoyen d'un autre pays.,fr,Droits de 3ème génération,Naturalisation
Quelle est l'échelle des enjeux pris en compte par les droits de 3ème génération?,L'Europe,Toute la planète,Le territoire français,La commune,b,Ils prennent en compte des enjeux internationaux qui concernent toute la planète.,fr,Droits de 3ème génération,CSP
Lequel de ces thèmes appartient aux droits de troisième génération?,Le droit de vote,Le droit de grève,L'instruction publique,L'environnement et la paix,d,"Ces droits concernent la paix, l'environnement, le développement",fr,Droits de 3ème génération,CR
Quel est le but principal de ces droits pour l'avenir?,Supprimer les frontières,Garantir une vie décente aux futures générations,Privatiser l'environnement,Consommer toutes les ressources actuelles,b,Ils ont pour but de garantir une vie décente aux futures générations.,fr,Droits de 3ème génération,Naturalisation
On qualifie souvent les droits de troisième génération de :,Droits de,Droits contre,Droits pour,Droits virtuels,c,On dit que ce sont des 'droits pour'.,fr,Droits de 3ème génération,CSP
"D'après l'article 1 de la Charte de l'environnement de 2004, chacun a le droit de vivre dans un environnement :",Sans aucune industrie,Équilibré et respectueux de la santé,Totalement urbain,Exploitable sans limite,b,Chacun a le droit de vivre dans un environnement équilibré et respectueux de la santé.,fr,Droits de 3ème génération,CR
"Pour les futures générations, le texte précise que nous devons préserver :",Les traités militaires,Seulement l'économie,"Les droits, les ressources et l'environnement",Notre culture locale,c,"Nous devons préserver les droits, les ressources et l'environnement pour les futures générations.",fr,Droits de 3ème génération,Naturalisation
Qu'est-ce que l'assistance humanitaire?,Le droit de travailler dans un autre pays,L'aide financière aux banques,Une mission de police locale,Une intervention d'un État dans un autre pour aider les Hommes en cas de violation de leurs droits,d,"En cas de violation des droits de l'Homme, un État peut intervenir dans un autre État pour aider.",fr,Droits de 3ème génération,CSP
"Apporter de la nourriture, des soins ou tenter de limiter un conflit est un exemple de :",Solidarité économique locale,Droit de propriété,Liberté d'expression,Assistance humanitaire,d,Ce sont des actions possibles dans le cadre de l'assistance humanitaire.,fr,Droits de 3ème génération,CR
